Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
27-Feb-2018,25684.6,25723.55,25356.4,25383.6,      289806608,         4594.31
28-Feb-2018,25116.25,25192.95,24942.0,25107.4,      311474002,         5010.14
01-Mar-2018,25022.35,25226.05,24854.4,24902.55,      214529321,         4160.86
05-Mar-2018,24831.35,24873.05,24682.0,24818.7,      138679764,         3083.52
06-Mar-2018,24964.1,25040.25,24362.05,24448.45,      135108832,         3586.37
07-Mar-2018,24333.85,24373.4,24096.75,24134.1,      187523331,         4460.36
08-Mar-2018,24273.9,24534.5,24048.55,24477.65,      169549517,         4215.95
09-Mar-2018,24556.95,24564.75,24259.7,24296.45,-,-
12-Mar-2018,24443.6,24716.05,24358.5,24664.2,      165215227,         3391.70
13-Mar-2018,24624.6,25009.65,24597.55,24738.65,      235984528,         4796.93
14-Mar-2018,24629.65,24894.3,24487.0,24851.65,      209048209,         3970.26
